fid,element_type,generator:method,generator:output:electricity,name,Address,X,Y
"1",node,,,Elektrownia wiatrowa,"Orzechowce,gmina Żurawica,Przemyśl County,Subcarpathian Voivodeship",22.7811607,49.8465049
"2",node,wind_turbine,,Elektrownia wiatrowa,"Orzechowce,gmina Żurawica,Przemyśl County,Subcarpathian Voivodeship",22.7844044,49.8502132
"3",node,wind_turbine,,Elektrownia wiatrowa,"Orzechowce,gmina Żurawica,Przemyśl County,Subcarpathian Voivodeship",22.7916593,49.8566121
"4",node,wind_turbine,,Elektrownia wiatrowa,"Orzechowce,gmina Żurawica,Przemyśl County,Subcarpathian Voivodeship",22.7882305,49.8620552
"5",node,wind_turbine,,Elektrownia wiatrowa,"Orzechowce,gmina Żurawica,Przemyśl County,Subcarpathian Voivodeship",22.7885607,49.8646419
"6",node,wind_turbine,,Elektrownia wiatrowa,"Hnatkowice,gmina Orły,Przemyśl County,Subcarpathian Voivodeship",22.7872448,49.8668477
"7",node,,,,"Hruszowice,gmina Stubno,Przemyśl County,Subcarpathian Voivodeship",23.0144937,49.9354456
"8",node,,,,"Chotyniec,gmina Radymno,Jarosław County,Subcarpathian Voivodeship",23.0121536,49.9393782
"9",node,,,,"Hruszowice,gmina Stubno,Przemyśl County,Subcarpathian Voivodeship",23.0171292,49.9394018
"10",node,,,,"Chotyniec,gmina Radymno,Jarosław County,Subcarpathian Voivodeship",23.0119574,49.9429138
"11",node,wind_turbine,,Elektrownia wiatrowa,"Niziny,gmina Orły,Przemyśl County,Subcarpathian Voivodeship",22.8642856,49.8750163
"12",node,wind_turbine,,,"Wacławice,gmina Orły,Przemyśl County,Subcarpathian Voivodeship",22.7531764,49.8879156
"13",node,wind_turbine,,Elektrownia wiatrowa,"Niziny,gmina Orły,Przemyśl County,Subcarpathian Voivodeship",22.8654427,49.8750251
"14",node,wind_turbine,,Elektrownia wiatrowa,"Laszki,gmina Laszki,Jarosław County,Subcarpathian Voivodeship",22.8795806,50.0269646
"15",node,wind_turbine,,Elektrownia wiatrowa,"Korzenica,gmina Laszki,Jarosław County,Subcarpathian Voivodeship",22.9101745,50.0375518
"16",node,wind_turbine,,Elektrownia wiatrowa,"Laszki,gmina Laszki,Jarosław County,Subcarpathian Voivodeship",22.8826065,50.0343512
